"","Gene","coef.FL","se.FL","Pval.FL","Cancer_type","Coef.fixed","SE.fixed","CI_lower.fixed","CI_upper.fixed","Pval.fixed","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval","FDR","FDR.fixed","FDR.FL"
"134","JUND",-0.13108073265252,0.120439453193924,0.276438962635597,"Melanoma",-0.0344476000113587,0.158947783580613,-0.345979531251827,0.27708433122911,0.828424421095774,-0.0344475944971831,0.15894779046838,-0.345979539237427,0.277084350243061,0.828424455452602,0,0.55831295230852,0.934385723010493,0.928812188900102,0.416970381249983
"135","ZNF331",0.0153014716347979,0.115845949139317,0.894917337132113,"Melanoma",-0.175947235238864,0.16460365243933,-0.498564465743699,0.146669995265971,0.285108185570704,-0.19668774153168,0.220960414786189,-0.629762196521642,0.236386713458283,0.373385765398187,0.426411992497084,0.106552488205877,0.646757486493288,0.525596149624294,0.921722604588642
"136","ZNF141",-0.0162071131131705,0.11672396215146,0.889568743483916,"Melanoma",-0.0308616856181039,0.173207142341338,-0.370341446472228,0.308618075236021,0.858583261930049,-0.0308616856181039,0.173207142341338,-0.370341446472228,0.308618075236021,0.858583261930049,0,0.802515383543645,0.935759285474323,0.928812188900102,0.921722604588642
"137","DNAJB1",-0.15337778279607,0.121476677270222,0.206729031013549,"Melanoma",-0.0248718129168191,0.156189450237445,-0.330997510147322,0.281253884313684,0.873478757134814,-0.0243571707321306,0.1575939183333,-0.333235574847946,0.284521233383684,0.877170934294912,0,0.472007776068949,0.944582074831681,0.928812188900102,0.360632091722862
"138","KDM6B",-0.0656156294222661,0.116032821040531,0.571739179480228,"Melanoma",-0.0418205801445148,0.126879469135373,-0.290499770027407,0.206858609738377,0.741695628557901,-0.0418205801445148,0.126879469135373,-0.290499770027407,0.206858609738377,0.741695628557901,0,0.71179692020876,0.877371658172152,0.887777425523252,0.708956582555482
"139","WDR74",-0.1422161616575,0.123226361927746,0.248457119665415,"Melanoma",-0.0923218619989164,0.166269154938133,-0.418203417417567,0.233559693419734,0.578719915100758,-0.0923218619989164,0.166269154938133,-0.418203417417567,0.233559693419734,0.578719915100758,0,0.682340033279669,0.813562779199616,0.758592321145588,0.405377405769888
"140","BTG1",-0.0187199844241367,0.116133117702328,0.871940453028124,"Melanoma",0.0433046737805968,0.128674185295263,-0.208892095138151,0.295501442699345,0.73645980562526,0.0433046737805968,0.128674185295263,-0.208892095138151,0.295501442699345,0.73645980562526,0,0.903975878933003,0.877371658172152,0.887777425523252,0.921722604588642
"141","SKIL",-0.178146056994442,0.122767227550979,0.146755343271271,"Melanoma",-0.113259139218817,0.153634010079915,-0.414376265775913,0.18785798733828,0.461000151723394,-0.113259139218817,0.153634010079915,-0.414376265775913,0.18785798733828,0.461000151723394,0,0.505954762064777,0.736654669634541,0.711753147771598,0.284338477588088
"142","ARHGAP24",0.165135590518462,0.116225833812185,0.155370092308331,"Melanoma",0.24191823831723,0.168369120448356,-0.0880791738702331,0.571915650504694,0.150765569577986,0.241918881588436,0.168370345215353,-0.0880809310982311,0.571918694275103,0.150767454280568,0,0.579002898108552,0.395255217978786,0.365606506226615,0.294886093564791
"143","CD27",-0.520592833207172,0.134807459875788,0.000112577306333038,"Melanoma",-0.576629654698522,0.200140707203256,-0.96889823265728,-0.184361076739765,0.0039626310494304,-0.622048164502848,0.275613004886485,-1.16223972775122,-0.0818566012544754,0.0240104298838666,0.425468688824809,0.12152437144666,0.232901169873506,0.0670727124095964,0.00348989649632418
"144","VPS37B",-0.116383624047246,0.122050749543741,0.340302630249463,"Melanoma",-0.0638457750173991,0.171998506160228,-0.400956652486136,0.273265102451337,0.710488878248196,-0.0638457750173991,0.171998506160228,-0.400956652486136,0.273265102451337,0.710488878248196,0,0.583645375349882,0.877371658172152,0.879506122845628,0.48689453251077
"145","WDR45B",0.0776259860681213,0.115920576041415,0.503082184694257,"Melanoma",-0.0363077868301771,0.149204837781518,-0.328743895201093,0.256128321540739,0.807740557962972,-0.0337788993768958,0.154102977961494,-0.335815186091793,0.268257387338001,0.82649664833927,0.0313234238437135,0.401810943557321,0.934385723010493,0.928011237593721,0.640912920226931
